,mstar,logt,logl_ls,logg,radius,feh,afe,age,u,g,r,i,z,J,H,Ks,Kp,IRAC1,IRAC2,KIC,KOI
139229,0.473,3.569,-1.4809999999999999,4.84,0.4328,-0.31,0.0,0.2,13.34,10.51,9.129,8.412,8.006,6.742000000000001,6.141,5.928,8.907,5.877000000000001,5.807,5868793.0,4290
139275,0.4629,3.568,-1.508,4.849,0.424,-0.31,0.0,0.3,13.44,10.59,9.212,8.485,8.073,6.805,6.206,5.992000000000001,8.982999999999999,5.938,5.8660000000000005,5868793.0,4290
139276,0.473,3.57,-1.4809999999999999,4.841,0.4327,-0.31,0.0,0.3,13.34,10.51,9.129,8.412,8.007,6.742999999999999,6.142,5.928999999999999,8.908,5.879,5.809,5868793.0,4290
139323,0.4629,3.568,-1.508,4.849,0.424,-0.31,0.0,0.4,13.44,10.59,9.212,8.485,8.074,6.806,6.206,5.992999999999999,8.984,5.939,5.867999999999999,5868793.0,4290
139324,0.473,3.57,-1.482,4.841,0.4326,-0.31,0.0,0.4,13.34,10.51,9.129,8.413,8.008,6.744,6.142,5.93,8.908,5.88,5.811,5868793.0,4290
139372,0.4629,3.568,-1.508,4.849,0.4239,-0.31,0.0,0.5,13.44,10.59,9.212,8.485,8.075,6.807,6.206,5.992999999999999,8.984,5.94,5.869,5868793.0,4290
139373,0.473,3.57,-1.482,4.841,0.4326,-0.31,0.0,0.5,13.34,10.51,9.13,8.413,8.008,6.745,6.142,5.93,8.908999999999999,5.881,5.812,5868793.0,4290
139421,0.4629,3.568,-1.508,4.849,0.4242,-0.31,0.0,0.6,13.43,10.59,9.209,8.482999999999999,8.073,6.806,6.205,5.992000000000001,8.982000000000001,5.94,5.869,5868793.0,4290
139422,0.473,3.57,-1.479,4.8389999999999995,0.4335,-0.31,0.0,0.6,13.33,10.49,9.117,8.404,8.002,6.739,6.1370000000000005,5.925,8.897,5.875,5.807,5868793.0,4290
139471,0.4629,3.569,-1.5030000000000001,4.846,0.4256,-0.31,0.0,0.7,13.41,10.57,9.19,8.469,8.062999999999999,6.797000000000001,6.197,5.984,8.964,5.931,5.862,5868793.0,4290
139521,0.4629,3.57,-1.4969999999999999,4.843,0.4271,-0.31,0.0,0.8,13.38,10.55,9.171,8.454,8.051,6.787000000000001,6.188,5.975,8.946,5.921,5.853,5868793.0,4290
139571,0.4528,3.57,-1.5130000000000001,4.843,0.422,-0.31,0.0,0.9,13.43,10.59,9.207,8.493,8.094,6.829,6.233,6.019,8.982000000000001,5.961,5.895,5868793.0,4290
146549,0.4629,3.5669999999999997,-1.5090000000000001,4.849,0.4241,-0.3,0.0,0.2,13.45,10.61,9.224,8.491,8.076,6.806,6.207999999999999,5.994,8.992,5.939,5.8660000000000005,5868793.0,4290
