,mstar,logt,logl_ls,logg,radius,feh,afe,age,u,g,r,i,z,J,H,Ks,Kp,IRAC1,IRAC2,KIC,KOI
24594,0.4528,3.58,-1.455,4.822,0.4323,-0.47,0.0,5.0,13.14,10.3,8.925,8.308,7.962999999999999,6.724,6.124,5.917000000000001,8.759,5.8629999999999995,5.808,,
24647,0.4528,3.58,-1.455,4.822,0.4325,-0.47,0.0,5.1,13.14,10.3,8.924,8.307,7.962000000000001,6.723,6.122999999999999,5.916,8.758,5.862,5.808,,
24700,0.4528,3.58,-1.454,4.822,0.4326,-0.47,0.0,5.2,13.14,10.3,8.923,8.306000000000001,7.961,6.722,6.122000000000001,5.915,8.757,5.862,5.807,,
24753,0.4528,3.58,-1.454,4.822,0.4328,-0.47,0.0,5.3,13.14,10.3,8.922,8.305,7.96,6.721,6.121,5.914,8.756,5.861000000000001,5.806,,
24806,0.4528,3.58,-1.454,4.821000000000001,0.4329,-0.47,0.0,5.4,13.14,10.3,8.921,8.304,7.959,6.721,6.12,5.912999999999999,8.755,5.86,5.805,,
24859,0.4528,3.58,-1.453,4.821000000000001,0.4331,-0.47,0.0,5.5,13.14,10.3,8.92,8.302999999999999,7.957999999999999,6.72,6.119,5.912000000000001,8.754,5.859,5.803999999999999,,
24911,0.4528,3.58,-1.453,4.821000000000001,0.4332,-0.47,0.0,5.6,13.14,10.3,8.919,8.302,7.957000000000001,6.718999999999999,6.117999999999999,5.9110000000000005,8.753,5.858,5.803999999999999,,
24963,0.4528,3.58,-1.453,4.82,0.4334,-0.47,0.0,5.7,13.13,10.3,8.918,8.301,7.956,6.718,6.117999999999999,5.91,8.752,5.857,5.803,,
25015,0.4528,3.58,-1.452,4.82,0.4335,-0.47,0.0,5.8,13.13,10.3,8.917,8.3,7.955,6.7170000000000005,6.117000000000001,5.91,8.751,5.856,5.8020000000000005,,
25067,0.4528,3.58,-1.452,4.82,0.4336,-0.47,0.0,5.9,13.13,10.29,8.915,8.299,7.954,6.716,6.1160000000000005,5.909,8.75,5.856,5.801,,
25120,0.4528,3.58,-1.4509999999999998,4.82,0.4338,-0.47,0.0,6.0,13.13,10.29,8.914,8.298,7.954,6.715,6.115,5.9079999999999995,8.749,5.855,5.8,,
25173,0.4528,3.58,-1.4509999999999998,4.819,0.4339,-0.47,0.0,6.1,13.13,10.29,8.913,8.297,7.952999999999999,6.715,6.114,5.907,8.748,5.854,5.7989999999999995,,
25226,0.4528,3.58,-1.4509999999999998,4.819,0.4341,-0.47,0.0,6.2,13.13,10.29,8.912,8.296,7.952000000000001,6.7139999999999995,6.1129999999999995,5.906000000000001,8.747,5.853,5.7989999999999995,,
25279,0.4528,3.58,-1.45,4.819,0.4342,-0.47,0.0,6.3,13.13,10.29,8.912,8.296,7.9510000000000005,6.712999999999999,6.112,5.905,8.746,5.852,5.797999999999999,,
25332,0.4528,3.58,-1.45,4.8180000000000005,0.4344,-0.47,0.0,6.4,13.13,10.29,8.911,8.295,7.95,6.712000000000001,6.111000000000001,5.904,8.745,5.852,5.797000000000001,,
25385,0.4528,3.58,-1.45,4.8180000000000005,0.4345,-0.47,0.0,6.5,13.13,10.29,8.908999999999999,8.294,7.949,6.711,6.111000000000001,5.903,8.744,5.851,5.796,,
25438,0.4528,3.58,-1.449,4.8180000000000005,0.4347,-0.47,0.0,6.6,13.12,10.29,8.908,8.293,7.9479999999999995,6.71,6.11,5.903,8.743,5.85,5.795,,
25491,0.4528,3.58,-1.449,4.817,0.4348,-0.47,0.0,6.7,13.12,10.29,8.907,8.292,7.947,6.71,6.109,5.902,8.742,5.849,5.795,,
25544,0.4528,3.58,-1.449,4.817,0.4349,-0.47,0.0,6.8,13.12,10.28,8.906,8.291,7.947,6.709,6.108,5.901,8.741,5.848,5.794,,
25597,0.4528,3.58,-1.4480000000000002,4.817,0.4351,-0.47,0.0,6.9,13.12,10.28,8.905,8.29,7.946000000000001,6.707999999999999,6.107,5.9,8.74,5.847,5.792999999999999,,
25651,0.4528,3.58,-1.4480000000000002,4.817,0.4352,-0.47,0.0,7.0,13.12,10.28,8.904,8.289,7.945,6.707000000000001,6.106,5.899,8.738999999999999,5.847,5.792000000000001,,
25703,0.4528,3.58,-1.4480000000000002,4.816,0.4354,-0.47,0.0,7.1,13.12,10.28,8.902999999999999,8.288,7.944,6.706,6.105,5.899,8.738,5.846,5.792000000000001,,
25755,0.4528,3.58,-1.4469999999999998,4.816,0.4355,-0.47,0.0,7.2,13.12,10.28,8.902000000000001,8.287,7.943,6.706,6.104,5.898,8.737,5.845,5.791,,
25807,0.4528,3.58,-1.4469999999999998,4.816,0.4356,-0.47,0.0,7.3,13.12,10.28,8.901,8.286,7.942,6.705,6.103,5.897,8.736,5.843999999999999,5.79,,
25859,0.4528,3.58,-1.446,4.816,0.4358,-0.47,0.0,7.4,13.11,10.28,8.9,8.285,7.941,6.704,6.103,5.896,8.735,5.843,5.789,,
25912,0.4528,3.58,-1.446,4.815,0.4359,-0.47,0.0,7.5,13.11,10.28,8.899,8.283999999999999,7.941,6.702999999999999,6.102,5.895,8.734,5.8420000000000005,5.789,,
29412,0.473,3.5780000000000003,-1.442,4.836,0.4349,-0.46,0.0,0.2,13.11,10.28,8.899,8.273,7.921,6.68,6.082000000000001,5.871,8.732000000000001,5.821000000000001,5.757999999999999,,
29413,0.483,3.58,-1.412,4.827,0.4444,-0.46,0.0,0.2,13.01,10.19,8.807,8.193,7.849,6.614,6.013999999999999,5.803,8.648,5.757000000000001,5.696000000000001,,
29460,0.473,3.5789999999999997,-1.44,4.835,0.4353,-0.46,0.0,0.3,13.1,10.28,8.892000000000001,8.267999999999999,7.917999999999999,6.678,6.08,5.869,8.727,5.819,5.757000000000001,,
29508,0.473,3.5789999999999997,-1.4380000000000002,4.835,0.4357,-0.46,0.0,0.4,13.09,10.27,8.886000000000001,8.264,7.915,6.676,6.077000000000001,5.867000000000001,8.721,5.817,5.756,,
29557,0.473,3.5789999999999997,-1.4369999999999998,4.834,0.4361,-0.46,0.0,0.5,13.08,10.26,8.879,8.259,7.912000000000001,6.6739999999999995,6.075,5.864,8.715,5.815,5.754,,
29606,0.473,3.58,-1.435,4.833,0.4366,-0.46,0.0,0.6,13.08,10.25,8.873,8.255,7.9079999999999995,6.671,6.0729999999999995,5.862,8.709,5.812,5.752999999999999,,
31229,0.4528,3.5789999999999997,-1.462,4.827,0.4302,-0.46,0.0,3.7,13.17,10.33,8.952,8.329,7.98,6.74,6.14,5.932,8.783,5.877999999999999,5.822,,
31282,0.4528,3.5789999999999997,-1.462,4.8260000000000005,0.4304,-0.46,0.0,3.8,13.17,10.33,8.951,8.328,7.979,6.739,6.138999999999999,5.931,8.782,5.877000000000001,5.821000000000001,,
31335,0.4528,3.5789999999999997,-1.462,4.8260000000000005,0.4305,-0.46,0.0,3.9,13.17,10.33,8.951,8.327,7.978,6.7379999999999995,6.138,5.93,8.781,5.876,5.82,,
31388,0.4528,3.5789999999999997,-1.4609999999999999,4.8260000000000005,0.4307,-0.46,0.0,4.0,13.17,10.33,8.95,8.326,7.977,6.737,6.1370000000000005,5.928999999999999,8.78,5.875,5.82,,
31441,0.4528,3.5789999999999997,-1.4609999999999999,4.825,0.4309,-0.46,0.0,4.1,13.17,10.33,8.948,8.325,7.976,6.736000000000001,6.136,5.928,8.779,5.874,5.819,,
31494,0.4528,3.5789999999999997,-1.46,4.825,0.431,-0.46,0.0,4.2,13.17,10.33,8.947000000000001,8.324,7.975,6.735,6.135,5.9270000000000005,8.777000000000001,5.872999999999999,5.818,,
31547,0.4528,3.5789999999999997,-1.46,4.825,0.4312,-0.46,0.0,4.3,13.17,10.33,8.946,8.323,7.974,6.734,6.1339999999999995,5.926,8.776,5.872999999999999,5.817,,
31600,0.4528,3.5789999999999997,-1.46,4.824,0.4313,-0.46,0.0,4.4,13.17,10.33,8.945,8.322000000000001,7.973,6.733,6.132999999999999,5.925,8.776,5.872000000000001,5.816,,
31654,0.4528,3.5789999999999997,-1.459,4.824,0.4315,-0.46,0.0,4.5,13.16,10.32,8.943999999999999,8.321,7.973,6.732,6.132000000000001,5.925,8.775,5.871,5.815,,
