,mstar,logt,logl_ls,logg,radius,feh,afe,age,u,g,r,i,z,J,H,Ks,Kp,IRAC1,IRAC2,KIC,KOI
271054,0.1709,3.511,-2.365,5.0569999999999995,0.2027,-0.13,0.0,0.4,16.66,13.56,12.06,10.89,10.22,8.781,8.231,7.9910000000000005,11.52,7.83,7.7139999999999995,5868793.0,4290
271150,0.1609,3.511,-2.444,5.099,0.1874,-0.13,0.0,0.6,16.89,13.77,12.26,11.08,10.42,8.979,8.427999999999999,8.187999999999999,11.72,8.027000000000001,7.912999999999999,5868793.0,4290
278376,0.1709,3.511,-2.365,5.056,0.2029,-0.12,0.0,0.4,16.66,13.57,12.07,10.89,10.22,8.781,8.232000000000001,7.9910000000000005,11.53,7.83,7.7139999999999995,5868793.0,4290
278472,0.1609,3.511,-2.444,5.099,0.1875,-0.12,0.0,0.6,16.89,13.77,12.27,11.09,10.42,8.978,8.427999999999999,8.187999999999999,11.73,8.027000000000001,7.912999999999999,5868793.0,4290
285652,0.181,3.511,-2.302,5.026,0.2162,-0.11,0.0,0.3,16.47,13.41,11.91,10.74,10.06,8.623,8.075,7.832999999999999,11.37,7.672000000000001,7.555,5868793.0,4290
285699,0.1709,3.511,-2.366,5.056,0.203,-0.11,0.0,0.4,16.67,13.58,12.08,10.9,10.22,8.781,8.232000000000001,7.9910000000000005,11.54,7.829,7.712999999999999,5868793.0,4290
285747,0.1709,3.511,-2.381,5.0680000000000005,0.2002,-0.11,0.0,0.5,16.7,13.61,12.11,10.93,10.26,8.82,8.271,8.03,11.57,7.87,7.754,5868793.0,4290
285795,0.1609,3.511,-2.445,5.098,0.1876,-0.11,0.0,0.6,16.9,13.78,12.28,11.09,10.42,8.978,8.429,8.189,11.73,8.027000000000001,7.912000000000001,5868793.0,4290
285844,0.1609,3.511,-2.458,5.109,0.1853,-0.11,0.0,0.7,16.92,13.81,12.3,11.12,10.45,9.013,8.463,8.224,11.76,8.062999999999999,7.949,5868793.0,4290
292929,0.1911,3.511,-2.239,4.996,0.2299,-0.1,0.0,0.2,16.28,13.25,11.76,10.58,9.907,8.466000000000001,7.919,7.6770000000000005,11.22,7.517,7.398,5868793.0,4290
292975,0.181,3.511,-2.302,5.026,0.2163,-0.1,0.0,0.3,16.48,13.42,11.92,10.74,10.07,8.622,8.076,7.834,11.38,7.672000000000001,7.553999999999999,5868793.0,4290
293022,0.1709,3.51,-2.366,5.055,0.2031,-0.1,0.0,0.4,16.67,13.59,12.09,10.9,10.22,8.78,8.232999999999999,7.9910000000000005,11.54,7.829,7.712000000000001,5868793.0,4290
293023,0.181,3.511,-2.318,5.038,0.2132,-0.1,0.0,0.4,16.51,13.45,11.95,10.78,10.1,8.662,8.115,7.874,11.41,7.7139999999999995,7.596,5868793.0,4290
293070,0.1709,3.511,-2.381,5.0680000000000005,0.2003,-0.1,0.0,0.5,16.7,13.62,12.12,10.94,10.26,8.82,8.272,8.031,11.57,7.87,7.752999999999999,5868793.0,4290
293118,0.1609,3.51,-2.445,5.098,0.1877,-0.1,0.0,0.6,16.9,13.79,12.29,11.1,10.42,8.978,8.43,8.189,11.74,8.027000000000001,7.912000000000001,5868793.0,4290
293119,0.1709,3.511,-2.395,5.079,0.1977,-0.1,0.0,0.6,16.73,13.64,12.15,10.97,10.3,8.856,8.307,8.067,11.6,7.907,7.791,5868793.0,4290
