,mstar,logt,logl_ls,logg,radius,feh,afe,age,u,g,r,i,z,J,H,Ks,Kp,IRAC1,IRAC2,KIC,KOI
535751,0.1709,3.502,-2.457,5.09,0.1953,0.23,0.0,4.0,16.92,13.99,12.52,11.22,10.47,8.961,8.445,8.193999999999999,11.88,8.02,7.893,,
535752,0.181,3.5039999999999996,-2.415,5.077,0.204,0.23,0.0,4.0,16.78,13.86,12.4,11.11,10.36,8.859,8.342,8.092,11.77,7.921,7.794,,
535753,0.1911,3.505,-2.374,5.064,0.2126,0.23,0.0,4.0,16.63,13.73,12.28,11.0,10.26,8.76,8.242,7.994,11.65,7.825,7.699,,
535754,0.2011,3.5069999999999997,-2.333,5.052,0.2212,0.23,0.0,4.0,16.49,13.6,12.15,10.89,10.15,8.661,8.142000000000001,7.895,11.54,7.73,7.604,,
535755,0.2112,3.508,-2.292,5.04,0.2299,0.23,0.0,4.0,16.35,13.47,12.03,10.78,10.05,8.562999999999999,8.042,7.797000000000001,11.43,7.635,7.5089999999999995,,
535804,0.1709,3.502,-2.458,5.09,0.1951,0.23,0.0,4.1,16.93,13.99,12.52,11.23,10.47,8.965,8.449,8.198,11.89,8.024,7.897,,
535805,0.181,3.5039999999999996,-2.416,5.078,0.2037,0.23,0.0,4.1,16.78,13.86,12.4,11.11,10.36,8.863,8.346,8.097000000000001,11.77,7.925,7.7989999999999995,,
535806,0.1911,3.505,-2.375,5.065,0.2124,0.23,0.0,4.1,16.63,13.73,12.28,11.0,10.26,8.762,8.244,7.996,11.66,7.827000000000001,7.7010000000000005,,
535807,0.2011,3.5069999999999997,-2.333,5.052,0.2212,0.23,0.0,4.1,16.49,13.6,12.15,10.89,10.15,8.66,8.141,7.894,11.54,7.729,7.604,,
535858,0.1709,3.502,-2.46,5.091,0.1949,0.23,0.0,4.2,16.93,13.99,12.53,11.23,10.48,8.969,8.453,8.203,11.89,8.027999999999999,7.902,,
535859,0.181,3.5039999999999996,-2.417,5.078,0.2036,0.23,0.0,4.2,16.78,13.86,12.4,11.12,10.37,8.865,8.347999999999999,8.099,11.77,7.928,7.801,,
535860,0.1911,3.505,-2.374,5.065,0.2124,0.23,0.0,4.2,16.63,13.73,12.27,11.0,10.26,8.761000000000001,8.243,7.995,11.65,7.827000000000001,7.7010000000000005,,
535861,0.2011,3.5069999999999997,-2.331,5.052,0.2213,0.23,0.0,4.2,16.48,13.59,12.15,10.88,10.15,8.657,8.138,7.891,11.54,7.726,7.6,,
535910,0.1709,3.502,-2.461,5.093,0.1946,0.23,0.0,4.3,16.93,13.99,12.53,11.23,10.48,8.972999999999999,8.456,8.206,11.89,8.032,7.906000000000001,,
535911,0.181,3.5039999999999996,-2.417,5.079,0.2035,0.23,0.0,4.3,16.78,13.86,12.4,11.12,10.37,8.866,8.349,8.1,11.77,7.928999999999999,7.803,,
535912,0.1911,3.505,-2.373,5.065,0.2124,0.23,0.0,4.3,16.63,13.72,12.27,11.0,10.25,8.759,8.241,7.992999999999999,11.65,7.825,7.699,,
535913,0.2011,3.5069999999999997,-2.329,5.051,0.2215,0.23,0.0,4.3,16.47,13.59,12.14,10.88,10.14,8.652000000000001,8.133,7.886,11.53,7.721,7.595,,
535962,0.1709,3.503,-2.4619999999999997,5.093999999999999,0.1944,0.23,0.0,4.4,16.93,13.99,12.53,11.23,10.48,8.976,8.459,8.209,11.89,8.036,7.909,,
535963,0.181,3.5039999999999996,-2.417,5.079,0.2034,0.23,0.0,4.4,16.78,13.86,12.4,11.11,10.37,8.866,8.347999999999999,8.1,11.77,7.928999999999999,7.803,,
535964,0.1911,3.505,-2.372,5.064,0.2125,0.23,0.0,4.4,16.62,13.72,12.27,10.99,10.25,8.756,8.238,7.99,11.65,7.822,7.696000000000001,,
535965,0.2011,3.5069999999999997,-2.329,5.051,0.2215,0.23,0.0,4.4,16.47,13.59,12.14,10.88,10.14,8.652000000000001,8.133,7.886,11.53,7.721,7.595,,
536014,0.1709,3.503,-2.463,5.093999999999999,0.1942,0.23,0.0,4.5,16.93,13.99,12.53,11.23,10.48,8.976,8.459,8.21,11.89,8.036,7.91,,
536015,0.181,3.5039999999999996,-2.416,5.079,0.2035,0.23,0.0,4.5,16.77,13.85,12.39,11.11,10.36,8.863,8.346,8.097000000000001,11.77,7.926,7.8,,
536016,0.1911,3.505,-2.37,5.063,0.2128,0.23,0.0,4.5,16.61,13.71,12.26,10.99,10.25,8.75,8.232000000000001,7.984,11.64,7.816,7.69,,
536017,0.2011,3.5069999999999997,-2.33,5.051,0.2215,0.23,0.0,4.5,16.47,13.59,12.14,10.88,10.14,8.652999999999999,8.134,7.8870000000000005,11.53,7.722,7.596,,
536066,0.1709,3.503,-2.463,5.093999999999999,0.1942,0.23,0.0,4.6,16.93,13.99,12.53,11.23,10.48,8.976,8.46,8.21,11.89,8.036,7.91,,
536067,0.181,3.5039999999999996,-2.415,5.078,0.2036,0.23,0.0,4.6,16.77,13.85,12.39,11.11,10.36,8.86,8.343,8.094,11.76,7.922999999999999,7.797000000000001,,
536068,0.1911,3.505,-2.369,5.063,0.213,0.23,0.0,4.6,16.61,13.71,12.26,10.99,10.24,8.749,8.231,7.982,11.64,7.814,7.688,,
536069,0.2011,3.5069999999999997,-2.33,5.051,0.2215,0.23,0.0,4.6,16.48,13.59,12.15,10.88,10.15,8.655,8.136000000000001,7.888999999999999,11.53,7.724,7.598,,
536119,0.1709,3.503,-2.4619999999999997,5.093999999999999,0.1943,0.23,0.0,4.7,16.93,13.99,12.52,11.23,10.48,8.974,8.457,8.207,11.89,8.033999999999999,7.9079999999999995,,
536120,0.181,3.5039999999999996,-2.4130000000000003,5.077,0.204,0.23,0.0,4.7,16.77,13.85,12.39,11.1,10.35,8.855,8.338,8.088,11.76,7.917000000000001,7.791,,
536121,0.1911,3.505,-2.37,5.062,0.213,0.23,0.0,4.7,16.62,13.72,12.26,10.99,10.25,8.751,8.232999999999999,7.984,11.64,7.816,7.69,,
536122,0.2011,3.5069999999999997,-2.331,5.05,0.2216,0.23,0.0,4.7,16.48,13.59,12.15,10.88,10.15,8.655,8.136000000000001,7.888999999999999,11.53,7.724,7.598,,
536172,0.1709,3.503,-2.46,5.093,0.1946,0.23,0.0,4.8,16.93,13.99,12.52,11.23,10.48,8.97,8.454,8.204,11.89,8.03,7.904,,
