KIC 2161536
KIC 2556650
KIC 2973386
KIC 2986833
KIC 3426367
KIC 3642335
KIC 4061149
KIC 4139816
KIC 4172805
KIC 4725681
KIC 4913852
KIC 5080636
KIC 5131180
KIC 5364071
KIC 5384713
KIC 5531953
KIC 5551672
KIC 5601258
KIC 5688790
KIC 5794240
KIC 5809954
KIC 5868793
KIC 5978170
KIC 6023859
KIC 6106282
KIC 6149553
KIC 6183511
KIC 6186964
KIC 6197344
KIC 6382217
KIC 6435936
KIC 6497146
KIC 6609270
KIC 6666233
KIC 6679295
KIC 6773862
KIC 7021681
KIC 7094486
KIC 7304449
KIC 7455287
KIC 7603200
KIC 7870390
KIC 7907423
KIC 8120608
KIC 8167996
KIC 8229458
KIC 8235924
KIC 8346392
KIC 8351704
KIC 8367644
KIC 8424002
KIC 8509442
KIC 8561063
KIC 8631751
KIC 8733898
KIC 8845205
KIC 8890150
KIC 9150827
KIC 9202151
KIC 9388479
KIC 9390653
KIC 9427402
KIC 9573685
KIC 9654468
KIC 9710326
KIC 9730163
KIC 9757613
KIC 9761199
KIC 9787239
KIC 9837661
KIC 10027247
KIC 10073672
KIC 10118816
KIC 10122538
KIC 10166274
KIC 10329835
KIC 10332883
KIC 10386984
KIC 10388286
KIC 10395543
KIC 10489206
KIC 10525027
KIC 10525049
KIC 10591855
KIC 10670119
KIC 10905746
KIC 10990886
KIC 11129738
KIC 11187837
KIC 11192141
KIC 11192235
KIC 11337141
KIC 11348997
KIC 11453592
KIC 11497958
KIC 11547869
KIC 11548140
KIC 11752906
KIC 11768142
KIC 11852982
KIC 11853130
KIC 11923270
KIC 12066569
