    0.811456160753894196E+01    0.245500934147719992E+07    0.353446692839218396E-01    0.363686947317891973E+00    0.953633313932520044E+00    0.257522123070962172E+00    0.298678113432813852E+02   -0.329523841581404374E-04    0.848846602205569400E+00    0.781567165996786798E+03
    0.811447416202258864E+01    0.245500933884277800E+07    0.408230531206551922E-01    0.763628483404192537E+00    0.346477576533564424E+00    0.895299454458005003E-02    0.217843353916811679E+02   -0.781216361039889062E-04    0.912774189564725020E+02    0.782394912080571885E+03
    0.811526755097490948E+01    0.245500934112452902E+07    0.383526635546326683E-01    0.585678119954540666E+00    0.811140072375830523E-01    0.848553573703027531E+00    0.305908364841686762E+02   -0.292113420592966711E-04    0.201942526634755515E+01    0.782661466648330020E+03
    0.811456981904458274E+01    0.245500933774859319E+07    0.367481059083824141E-01    0.226159723783016381E+00    0.255966514187472682E+00    0.536026469121565152E+00    0.343695589815057119E+02   -0.132608949864532124E-04    0.184053631842179433E+00    0.783091399544780870E+03
    0.811468301520113044E+01    0.245500933788947202E+07    0.362919569854447538E-01    0.137123906223224984E+00    0.939531387202214852E+00    0.723557045957818334E-01    0.334989839058593830E+02   -0.362125254721454561E-04    0.105757998405346029E+03    0.783359838198303009E+03
    0.811530199531439500E+01    0.245500934091255115E+07    0.354750522229235546E-01    0.297524202196851086E-01    0.400935327830738486E+00    0.382924138567779793E+00    0.328619523358308001E+02   -0.400769978241498044E-04    0.575063586247798741E+00    0.783508507183481584E+03
    0.811469200115012335E+01    0.245500933789875777E+07    0.365540979424890805E-01    0.261121363232223680E+00    0.569345701628832135E+00    0.386410427392148148E+00    0.335651971334330739E+02   -0.595863629606129897E-04    0.413128845648926935E+00    0.783527629324591317E+03
    0.811499501513156218E+01    0.245500933852457907E+07    0.380829850576898318E-01    0.678117612335765729E-01    0.100251309009695755E+00    0.891234454673421772E+00    0.352762750346205465E+02   -0.765138859467118167E-04    0.449855935279465911E+02    0.783724612925239740E+03
    0.811542475056453583E+01    0.245500934267115081E+07    0.363178437850169497E-01    0.383498716772065873E+00    0.408105693314608498E+00    0.596015896769635622E+00    0.300956994993761491E+02   -0.670627203208546020E-04    0.821383240730950916E+02    0.783843765533912119E+03
    0.811482095699176043E+01    0.245500934207035694E+07    0.366076879780674394E-01    0.313374808551733164E+00    0.225331409239824226E+00    0.790850115422082722E+00    0.316066119626889943E+02   -0.644346481579703429E-04    0.707377508627746323E+02    0.783918606319258402E+03
    0.811459564450901105E+01    0.245500933853812888E+07    0.364763553633664570E-01    0.604504714833567769E-01    0.699377394796428020E+00    0.101344142691492986E+00    0.352098808194145150E+02   -0.939114261756508973E-04    0.241456432308705224E+02    0.784130820977036478E+03
    0.811391716631338511E+01    0.245500933709857101E+07    0.385463604543827970E-01    0.256766439397417889E+00    0.894937944439483934E-01    0.370734293598752596E+00    0.367406380869216989E+02   -0.539444917532999496E-04    0.268620073859391906E+00    0.784207390145303975E+03
    0.811418895431986442E+01    0.245500933778276714E+07    0.362000151959811917E-01    0.138242215978935545E+00    0.628649858677539419E+00    0.219860660414530146E+00    0.333354138922835048E+02   -0.982126971449050917E-04    0.219097076406356783E+00    0.784459446781889255E+03
