KOI KIC Teff ETeff eTeff Fe/H e_Fe/H M/H e_M/H SpType Mstar e_Mstar Rstar e_Rstar Dis Fe/H-T e_Fe/H-T Fe/H-M e_Fe/H-M M/H-M e_M/H-M
886 7455287 3712 69 72 -0.13 0.14 -0.10 0.13 M1V 0.48 0.04 0.46 0.04 109 -0.24 0.11 -0.11 0.16 -0.15 0.16
3034 2973386 3713 194 54 -0.10 0.18 -0.07 0.15 M1V 0.49 0.06 0.46 0.06 123 -0.01 0.14 +0.01 0.28 -0.07 0.34
1867 8167996 3717 127 42 +0.03 0.15 +0.02 0.13 M1V 0.51 0.04 0.48 0.04 183 +0.00 0.13 +0.18 0.17 +0.06 0.17
3090 6609270 3725 89 143 +0.05 0.18 +0.03 0.15 M1V 0.52 0.07 0.49 0.06 263 -0.23 0.13 -0.37 0.29 -0.49 0.35
952 9787239 3731 94 67 -0.02 0.14 -0.02 0.13 M1V 0.51 0.04 0.48 0.04 224 +0.08 0.13 +0.20 0.16 +0.23 0.16
739 10386984 3733 90 47 +0.11 0.13 +0.07 0.13 M1V 0.52 0.03 0.50 0.03 243 -0.06 0.13 +0.29 0.14 +0.07 0.15
247 11852982 3735 65 44 +0.02 0.12 +0.01 0.12 M1V 0.51 0.03 0.48 0.03 103 +0.10 0.10 +0.03 0.14 -0.04 0.14
1459 9761199 3742 83 83 -0.09 0.15 -0.07 0.13 M1V 0.51 0.04 0.48 0.04 198 +0.27 0.12 +0.14 0.15 -0.03 0.17
478 10990886 3744 33 70 +0.19 0.12 +0.13 0.12 M1V 0.54 0.03 0.51 0.03 107 +0.28 0.12 +0.31 0.13 +0.19 0.13
252 11187837 3745 69 69 +0.06 0.13 +0.04 0.12 M1V 0.52 0.04 0.49 0.03 138 +0.15 0.12 +0.19 0.13 +0.08 0.14
817 4725681 3747 80 49 +0.11 0.13 +0.08 0.12 M1V 0.53 0.03 0.51 0.03 187 +0.32 0.13 +0.30 0.10 +0.24 0.12
